map,bucket,scenario,start_x,start_y,heuristic,density,avg_runtime_ms,avg_nodes_expanded,success,dataset_type,density_level,runtime_outlier,nodes_outlier
maze512-16-0.map,3,35,134,294,manhattan,0.0615234375,0.0551462173461914,25.0,True,mazes,medium,False,False
maze512-16-0.map,3,35,134,294,euclidean,0.0615234375,0.0599622726440429,25.0,True,mazes,medium,False,False
maze512-16-0.map,3,36,146,490,manhattan,0.0615234375,1.0974645614624023,608.0,True,mazes,medium,False,False
maze512-16-0.map,3,36,146,490,euclidean,0.0615234375,1.5026330947875977,791.0,True,mazes,medium,False,False
maze512-16-0.map,3,37,371,167,manhattan,0.0615234375,0.2384901046752929,131.0,True,mazes,medium,False,False
maze512-16-0.map,3,37,371,167,euclidean,0.0615234375,0.3169059753417969,167.0,True,mazes,medium,False,False
maze512-16-0.map,3,38,435,287,manhattan,0.0615234375,0.1725912094116211,90.0,True,mazes,medium,False,False
maze512-16-0.map,3,38,435,287,euclidean,0.0615234375,0.2343654632568359,116.0,True,mazes,medium,False,False
maze512-16-0.map,3,39,367,151,manhattan,0.0615234375,0.0691413879394531,31.0,True,mazes,medium,False,False
maze512-16-0.map,3,39,367,151,euclidean,0.0615234375,0.0746965408325195,31.0,True,mazes,medium,False,False
maze512-16-0.map,4,40,317,435,manhattan,0.0615234375,13.62473964691162,6683.0,True,mazes,medium,True,True
maze512-16-0.map,4,40,317,435,euclidean,0.0615234375,18.66917610168457,7753.0,True,mazes,medium,True,True
maze512-16-0.map,4,41,452,510,manhattan,0.0615234375,1.5642404556274414,801.0,True,mazes,medium,True,True
maze512-16-0.map,4,41,452,510,euclidean,0.0615234375,1.6272544860839844,852.0,True,mazes,medium,False,False
maze512-16-0.map,4,42,423,169,manhattan,0.0615234375,12.38565444946289,6197.0,True,mazes,medium,True,True
maze512-16-0.map,4,42,423,169,euclidean,0.0615234375,16.673970222473145,6992.0,True,mazes,medium,True,True
maze512-16-0.map,4,44,340,152,manhattan,0.0615234375,0.5953073501586914,175.0,True,mazes,medium,False,False
maze512-16-0.map,4,44,340,152,euclidean,0.0615234375,0.7904767990112305,222.0,True,mazes,medium,False,False
maze512-16-0.map,4,45,369,187,manhattan,0.0615234375,17.12195873260498,7610.0,True,mazes,medium,True,True
maze512-16-0.map,4,45,369,187,euclidean,0.0615234375,21.19991779327393,8621.0,True,mazes,medium,True,True
maze512-16-0.map,4,46,469,248,manhattan,0.0615234375,17.73374080657959,7581.0,True,mazes,medium,True,True
maze512-16-0.map,4,46,469,248,euclidean,0.0615234375,23.796582221984863,9294.0,True,mazes,medium,True,True
maze512-16-0.map,4,47,461,251,manhattan,0.0615234375,16.067218780517578,7564.0,True,mazes,medium,True,True
maze512-16-0.map,4,47,461,251,euclidean,0.0615234375,20.98350524902344,9039.0,True,mazes,medium,True,True
maze512-16-0.map,4,48,495,181,manhattan,0.0615234375,0.3358840942382812,175.0,True,mazes,medium,False,False
maze512-16-0.map,4,48,495,181,euclidean,0.0615234375,0.6220817565917969,233.0,True,mazes,medium,False,False
maze512-16-0.map,4,49,473,172,manhattan,0.0615234375,434.8736047744751,165942.0,True,mazes,medium,True,True
maze512-16-0.map,4,49,473,172,euclidean,0.0615234375,479.7975778579712,170606.0,True,mazes,medium,True,True
maze512-16-0.map,5,50,94,57,manhattan,0.0615234375,0.4012346267700195,214.0,True,mazes,medium,False,False
maze512-16-0.map,5,50,94,57,euclidean,0.0615234375,0.5548477172851562,285.0,True,mazes,medium,False,False
maze512-16-0.map,5,51,3,325,manhattan,0.0615234375,0.5730867385864258,335.0,True,mazes,medium,False,False
maze512-16-0.map,5,51,3,325,euclidean,0.0615234375,0.8417129516601562,400.0,True,mazes,medium,False,False
maze512-16-0.map,5,52,244,278,manhattan,0.0615234375,0.3294229507446289,114.0,True,mazes,medium,False,False
maze512-16-0.map,5,52,244,278,euclidean,0.0615234375,0.338602066040039,152.0,True,mazes,medium,False,False
maze512-16-1.map,0,0,88,53,manhattan,0.0613517761230468,0.0108003616333007,3.0,True,mazes,medium,False,False
maze512-16-1.map,0,0,88,53,euclidean,0.0613517761230468,0.009918212890625,3.0,True,mazes,medium,False,False
maze512-16-1.map,0,1,260,242,manhattan,0.0613517761230468,0.0142574310302734,5.0,True,mazes,medium,False,False
maze512-16-1.map,0,1,260,242,euclidean,0.0613517761230468,0.0136613845825195,5.0,True,mazes,medium,False,False
maze512-16-1.map,0,2,40,179,manhattan,0.0613517761230468,0.0078678131103515,3.0,True,mazes,medium,False,False
maze512-16-1.map,0,2,40,179,euclidean,0.0613517761230468,0.0085830688476562,3.0,True,mazes,medium,False,False
maze512-16-1.map,0,3,249,240,manhattan,0.0613517761230468,0.0074148178100585,3.0,True,mazes,medium,False,False
maze512-16-1.map,0,3,249,240,euclidean,0.0613517761230468,0.0081539154052734,3.0,True,mazes,medium,False,False
maze512-16-1.map,0,4,69,235,manhattan,0.0613517761230468,0.0116348266601562,5.0,True,mazes,medium,False,False
maze512-16-1.map,0,4,69,235,euclidean,0.0613517761230468,0.0129938125610351,5.0,True,mazes,medium,False,False
maze512-16-1.map,0,5,262,231,manhattan,0.0613517761230468,0.0123262405395507,5.0,True,mazes,medium,False,False
maze512-16-1.map,0,5,262,231,euclidean,0.0613517761230468,0.0142097473144531,5.0,True,mazes,medium,False,False
maze512-16-1.map,0,6,456,110,manhattan,0.0613517761230468,0.023818016052246,11.0,True,mazes,medium,False,False
maze512-16-1.map,0,6,456,110,euclidean,0.0613517761230468,0.0257492065429687,11.0,True,mazes,medium,False,False
maze512-16-1.map,0,7,15,483,manhattan,0.0613517761230468,0.0150918960571289,7.0,True,mazes,medium,False,False
maze512-16-1.map,0,7,15,483,euclidean,0.0613517761230468,0.0159740447998046,7.0,True,mazes,medium,False,False
maze512-16-1.map,0,8,337,54,manhattan,0.0613517761230468,0.0121355056762695,5.0,True,mazes,medium,False,False
maze512-16-1.map,0,8,337,54,euclidean,0.0613517761230468,0.0127077102661132,5.0,True,mazes,medium,False,False
maze512-16-1.map,0,9,20,257,manhattan,0.0613517761230468,0.0163793563842773,7.0,True,mazes,medium,False,False
maze512-16-1.map,0,9,20,257,euclidean,0.0613517761230468,0.017714500427246,7.0,True,mazes,medium,False,False
maze512-16-1.map,1,10,82,105,manhattan,0.0613517761230468,0.0672817230224609,35.0,True,mazes,medium,False,False
maze512-16-1.map,1,10,82,105,euclidean,0.0613517761230468,0.0815868377685546,41.0,True,mazes,medium,False,False
maze512-16-1.map,1,11,139,299,manhattan,0.0613517761230468,0.0316858291625976,13.0,True,mazes,medium,False,False
maze512-16-1.map,1,11,139,299,euclidean,0.0613517761230468,0.0317811965942382,13.0,True,mazes,medium,False,False
maze512-16-1.map,1,12,158,268,manhattan,0.0613517761230468,0.0112771987915039,4.0,True,mazes,medium,False,False
maze512-16-1.map,1,12,158,268,euclidean,0.0613517761230468,0.0123262405395507,4.0,True,mazes,medium,False,False
maze512-16-1.map,1,13,47,99,manhattan,0.0613517761230468,0.0457048416137695,23.0,True,mazes,medium,False,False
maze512-16-1.map,1,13,47,99,euclidean,0.0613517761230468,0.0552177429199218,27.0,True,mazes,medium,False,False
maze512-16-1.map,1,14,477,468,manhattan,0.0613517761230468,0.0328779220581054,15.0,True,mazes,medium,False,False
maze512-16-1.map,1,14,477,468,euclidean,0.0613517761230468,0.0382661819458007,17.0,True,mazes,medium,False,False
maze512-16-1.map,1,15,139,499,manhattan,0.0613517761230468,4.287123680114746,1397.0,True,mazes,medium,True,True
maze512-16-1.map,1,15,139,499,euclidean,0.0613517761230468,3.4399986267089844,1610.0,True,mazes,medium,True,True
maze512-16-1.map,1,16,132,98,manhattan,0.0613517761230468,1.5789508819580078,884.0,True,mazes,medium,True,True
maze512-16-1.map,1,16,132,98,euclidean,0.0613517761230468,1.9293546676635744,994.0,True,mazes,medium,False,True
maze512-16-1.map,1,17,51,447,manhattan,0.0613517761230468,0.050973892211914,23.0,True,mazes,medium,False,False
maze512-16-1.map,1,17,51,447,euclidean,0.0613517761230468,0.0606298446655273,27.0,True,mazes,medium,False,False
maze512-16-1.map,1,18,209,180,manhattan,0.0613517761230468,0.0171899795532226,6.0,True,mazes,medium,False,False
maze512-16-1.map,1,18,209,180,euclidean,0.0613517761230468,0.0184059143066406,6.0,True,mazes,medium,False,False
maze512-16-1.map,1,19,159,415,manhattan,0.0613517761230468,0.0487327575683593,23.0,True,mazes,medium,False,False
maze512-16-1.map,1,19,159,415,euclidean,0.0613517761230468,0.0599384307861328,27.0,True,mazes,medium,False,False
maze512-16-1.map,2,20,29,415,manhattan,0.0613517761230468,0.0990867614746093,49.0,True,mazes,medium,False,False
maze512-16-1.map,2,20,29,415,euclidean,0.0613517761230468,0.1283645629882812,60.0,True,mazes,medium,False,False
maze512-16-1.map,2,21,126,455,manhattan,0.0613517761230468,0.0802040100097656,41.0,True,mazes,medium,False,False
maze512-16-1.map,2,21,126,455,euclidean,0.0613517761230468,0.1026153564453125,48.0,True,mazes,medium,False,False
maze512-16-1.map,2,22,500,423,manhattan,0.0613517761230468,0.0998497009277343,44.0,True,mazes,medium,False,False
maze512-16-1.map,2,22,500,423,euclidean,0.0613517761230468,0.1152753829956054,53.0,True,mazes,medium,False,False
maze512-16-1.map,2,23,109,42,manhattan,0.0613517761230468,0.0485658645629882,21.0,True,mazes,medium,False,False
maze512-16-1.map,2,23,109,42,euclidean,0.0613517761230468,0.0525712966918945,21.0,True,mazes,medium,False,False
maze512-16-1.map,2,24,358,454,manhattan,0.0613517761230468,0.078582763671875,39.0,True,mazes,medium,False,False
maze512-16-1.map,2,24,358,454,euclidean,0.0613517761230468,0.1002073287963867,46.0,True,mazes,medium,False,False
maze512-16-1.map,2,25,435,387,manhattan,0.0613517761230468,0.0445365905761718,19.0,True,mazes,medium,False,False
maze512-16-1.map,2,25,435,387,euclidean,0.0613517761230468,0.0488519668579101,19.0,True,mazes,medium,False,False
maze512-16-1.map,2,26,432,307,manhattan,0.0613517761230468,0.1130342483520507,59.0,True,mazes,medium,False,False
maze512-16-1.map,2,26,432,307,euclidean,0.0613517761230468,0.1259088516235351,62.0,True,mazes,medium,False,False
maze512-16-1.map,2,28,185,488,manhattan,0.0613517761230468,0.9788274765014648,534.0,True,mazes,medium,False,False
maze512-16-1.map,2,28,185,488,euclidean,0.0613517761230468,1.7359495162963867,719.0,True,mazes,medium,False,False
maze512-16-1.map,3,30,320,260,manhattan,0.0613517761230468,0.2152442932128906,59.0,True,mazes,medium,False,False
maze512-16-1.map,3,30,320,260,euclidean,0.0613517761230468,0.2805948257446289,75.0,True,mazes,medium,False,False
maze512-16-1.map,3,31,71,285,manhattan,0.0613517761230468,0.0625133514404296,13.0,True,mazes,medium,False,False
maze512-16-1.map,3,31,71,285,euclidean,0.0613517761230468,0.0680446624755859,13.0,True,mazes,medium,False,False
maze512-16-1.map,3,32,385,205,manhattan,0.0613517761230468,5.320525169372559,2356.0,True,mazes,medium,True,True
maze512-16-1.map,3,32,385,205,euclidean,0.0613517761230468,6.28352165222168,2996.0,True,mazes,medium,True,True
maze512-16-1.map,3,33,239,132,manhattan,0.0613517761230468,0.2230644226074218,129.0,True,mazes,medium,False,False
maze512-16-1.map,3,33,239,132,euclidean,0.0613517761230468,0.2826690673828125,150.0,True,mazes,medium,False,False
maze512-16-1.map,3,34,419,244,manhattan,0.0613517761230468,0.1422882080078125,69.0,True,mazes,medium,False,False
maze512-16-1.map,3,34,419,244,euclidean,0.0613517761230468,0.1878738403320312,89.0,True,mazes,medium,False,False
maze512-16-1.map,3,35,42,199,manhattan,0.0613517761230468,0.2016305923461914,101.0,True,mazes,medium,False,False
maze512-16-1.map,3,35,42,199,euclidean,0.0613517761230468,0.2739191055297851,131.0,True,mazes,medium,False,False
maze512-16-1.map,3,36,102,450,manhattan,0.0613517761230468,27.26123332977295,12936.0,True,mazes,medium,True,True
maze512-16-1.map,3,36,102,450,euclidean,0.0613517761230468,37.04638481140137,15110.0,True,mazes,medium,True,True
maze512-16-1.map,3,37,496,454,manhattan,0.0613517761230468,0.2315998077392578,119.0,True,mazes,medium,False,False
maze512-16-1.map,3,37,496,454,euclidean,0.0613517761230468,0.3420829772949219,153.0,True,mazes,medium,False,False
maze512-16-1.map,3,38,384,123,manhattan,0.0613517761230468,0.1784086227416992,83.0,True,mazes,medium,False,False
maze512-16-1.map,3,38,384,123,euclidean,0.0613517761230468,0.2210855484008789,105.0,True,mazes,medium,False,False
maze512-16-1.map,3,39,18,231,manhattan,0.0613517761230468,0.5035638809204102,252.0,True,mazes,medium,False,False
maze512-16-1.map,3,39,18,231,euclidean,0.0613517761230468,0.5777597427368164,316.0,True,mazes,medium,False,False
maze512-16-1.map,4,40,405,293,manhattan,0.0613517761230468,21.955037117004395,10652.0,True,mazes,medium,True,True
maze512-16-1.map,4,40,405,293,euclidean,0.0613517761230468,28.63175868988037,12463.0,True,mazes,medium,True,True
maze512-16-1.map,4,41,20,228,manhattan,0.0613517761230468,0.2538681030273437,130.0,True,mazes,medium,False,False
maze512-16-1.map,4,41,20,228,euclidean,0.0613517761230468,0.3943204879760742,189.0,True,mazes,medium,False,False
maze512-16-1.map,4,42,304,384,manhattan,0.0613517761230468,0.0734329223632812,33.0,True,mazes,medium,False,False
maze512-16-1.map,4,42,304,384,euclidean,0.0613517761230468,0.0780582427978515,33.0,True,mazes,medium,False,False
maze512-16-1.map,4,43,326,219,manhattan,0.0613517761230468,0.233316421508789,119.0,True,mazes,medium,False,False
maze512-16-1.map,4,43,326,219,euclidean,0.0613517761230468,0.3475427627563476,162.0,True,mazes,medium,False,False
maze512-16-1.map,4,44,462,426,manhattan,0.0613517761230468,13.240575790405272,5639.0,True,mazes,medium,True,True
maze512-16-1.map,4,44,462,426,euclidean,0.0613517761230468,16.860628128051758,6271.0,True,mazes,medium,True,True
maze512-16-1.map,4,45,416,316,manhattan,0.0613517761230468,12.585067749023438,5311.0,True,mazes,medium,True,True
maze512-16-1.map,4,45,416,316,euclidean,0.0613517761230468,14.430952072143556,5986.0,True,mazes,medium,True,True
maze512-16-1.map,4,46,96,108,manhattan,0.0613517761230468,0.2074956893920898,104.0,True,mazes,medium,False,False
maze512-16-1.map,4,46,96,108,euclidean,0.0613517761230468,0.3358840942382812,136.0,True,mazes,medium,False,False
maze512-16-1.map,4,47,309,77,manhattan,0.0613517761230468,602.07679271698,234058.0,True,mazes,medium,True,True
maze512-16-1.map,4,47,309,77,euclidean,0.0613517761230468,661.5540027618408,234959.0,True,mazes,medium,True,True
maze512-16-1.map,4,48,411,223,manhattan,0.0613517761230468,7.0511579513549805,3707.0,True,mazes,medium,True,True
maze512-16-1.map,4,48,411,223,euclidean,0.0613517761230468,10.269927978515623,4482.0,True,mazes,medium,True,True
maze512-16-1.map,4,49,247,465,manhattan,0.0613517761230468,0.944232940673828,368.0,True,mazes,medium,False,False
maze512-16-1.map,4,49,247,465,euclidean,0.0613517761230468,0.8793830871582031,441.0,True,mazes,medium,False,False
maze512-16-1.map,5,50,412,55,manhattan,0.0613517761230468,5.008077621459961,2596.0,True,mazes,medium,True,True
maze512-16-1.map,5,50,412,55,euclidean,0.0613517761230468,6.381726264953613,3054.0,True,mazes,medium,True,True
maze512-16-1.map,5,51,296,326,manhattan,0.0613517761230468,32.13081359863281,14606.0,True,mazes,medium,True,True
maze512-16-1.map,5,51,296,326,euclidean,0.0613517761230468,38.130736351013184,16119.0,True,mazes,medium,True,True
maze512-16-2.map,0,0,79,161,manhattan,0.061065673828125,0.0260829925537109,8.0,True,mazes,medium,False,False
maze512-16-2.map,0,0,79,161,euclidean,0.061065673828125,0.0208139419555664,8.0,True,mazes,medium,False,False
maze512-16-2.map,0,1,119,191,manhattan,0.061065673828125,0.0165700912475585,7.0,True,mazes,medium,False,False
maze512-16-2.map,0,1,119,191,euclidean,0.061065673828125,0.0186920166015625,7.0,True,mazes,medium,False,False
maze512-16-2.map,0,2,8,54,manhattan,0.061065673828125,0.0168085098266601,7.0,True,mazes,medium,False,False
maze512-16-2.map,0,2,8,54,euclidean,0.061065673828125,0.0182390213012695,7.0,True,mazes,medium,False,False
maze512-16-2.map,0,3,240,154,manhattan,0.061065673828125,0.0071525573730468,3.0,True,mazes,medium,False,False
maze512-16-2.map,0,3,240,154,euclidean,0.061065673828125,0.0077724456787109,3.0,True,mazes,medium,False,False
maze512-16-2.map,0,4,385,332,manhattan,0.061065673828125,0.0066280364990234,2.0,True,mazes,medium,False,False
maze512-16-2.map,0,4,385,332,euclidean,0.061065673828125,0.0072002410888671,2.0,True,mazes,medium,False,False
maze512-16-2.map,0,5,145,437,manhattan,0.061065673828125,0.0198125839233398,8.0,True,mazes,medium,False,False
maze512-16-2.map,0,5,145,437,euclidean,0.061065673828125,0.0212430953979492,8.0,True,mazes,medium,False,False
maze512-16-2.map,0,6,58,172,manhattan,0.061065673828125,0.0081062316894531,3.0,True,mazes,medium,False,False
maze512-16-2.map,0,6,58,172,euclidean,0.061065673828125,0.0088214874267578,3.0,True,mazes,medium,False,False
maze512-16-2.map,0,7,342,501,manhattan,0.061065673828125,0.0037908554077148,1.0,True,mazes,medium,False,False
maze512-16-2.map,0,7,342,501,euclidean,0.061065673828125,0.0041007995605468,1.0,True,mazes,medium,False,False
maze512-16-2.map,0,8,185,469,manhattan,0.061065673828125,0.0133752822875976,5.0,True,mazes,medium,False,False
maze512-16-2.map,0,8,185,469,euclidean,0.061065673828125,0.0145912170410156,5.0,True,mazes,medium,False,False
maze512-16-2.map,0,9,28,359,manhattan,0.061065673828125,0.0062227249145507,2.0,True,mazes,medium,False,False
maze512-16-2.map,0,9,28,359,euclidean,0.061065673828125,0.0069141387939453,2.0,True,mazes,medium,False,False
