map,bucket,scenario,start_x,start_y,heuristic,density,avg_runtime_ms,avg_nodes_expanded,success
maze512-16-1.map,1,13,47,99,euclidean,0.061351776123046875,0.055217742919921875,27.0,True
maze512-16-1.map,1,14,477,468,manhattan,0.061351776123046875,0.03287792205810547,15.0,True
maze512-16-1.map,1,14,477,468,euclidean,0.061351776123046875,0.03826618194580078,17.0,True
maze512-16-1.map,1,15,139,499,manhattan,0.061351776123046875,4.287123680114746,1397.0,True
maze512-16-1.map,1,15,139,499,euclidean,0.061351776123046875,3.4399986267089844,1610.0,True
maze512-16-1.map,1,16,132,98,manhattan,0.061351776123046875,1.5789508819580078,884.0,True
maze512-16-1.map,1,16,132,98,euclidean,0.061351776123046875,1.9293546676635742,994.0,True
maze512-16-1.map,1,17,51,447,manhattan,0.061351776123046875,0.05097389221191406,23.0,True
maze512-16-1.map,1,17,51,447,euclidean,0.061351776123046875,0.060629844665527344,27.0,True
maze512-16-1.map,1,18,209,180,manhattan,0.061351776123046875,0.017189979553222656,6.0,True
maze512-16-1.map,1,18,209,180,euclidean,0.061351776123046875,0.018405914306640625,6.0,True
maze512-16-1.map,1,19,159,415,manhattan,0.061351776123046875,0.048732757568359375,23.0,True
maze512-16-1.map,1,19,159,415,euclidean,0.061351776123046875,0.05993843078613281,27.0,True
maze512-16-1.map,2,20,29,415,manhattan,0.061351776123046875,0.09908676147460938,49.0,True
maze512-16-1.map,2,20,29,415,euclidean,0.061351776123046875,0.12836456298828125,60.0,True
maze512-16-1.map,2,21,126,455,manhattan,0.061351776123046875,0.08020401000976562,41.0,True
maze512-16-1.map,2,21,126,455,euclidean,0.061351776123046875,0.1026153564453125,48.0,True
maze512-16-1.map,2,22,500,423,manhattan,0.061351776123046875,0.09984970092773438,44.0,True
maze512-16-1.map,2,22,500,423,euclidean,0.061351776123046875,0.11527538299560547,53.0,True
maze512-16-1.map,2,23,109,42,manhattan,0.061351776123046875,0.04856586456298828,21.0,True
maze512-16-1.map,2,23,109,42,euclidean,0.061351776123046875,0.05257129669189453,21.0,True
maze512-16-1.map,2,24,358,454,manhattan,0.061351776123046875,0.078582763671875,39.0,True
maze512-16-1.map,2,24,358,454,euclidean,0.061351776123046875,0.10020732879638672,46.0,True
maze512-16-1.map,2,25,435,387,manhattan,0.061351776123046875,0.044536590576171875,19.0,True
maze512-16-1.map,2,25,435,387,euclidean,0.061351776123046875,0.048851966857910156,19.0,True
maze512-16-1.map,2,26,432,307,manhattan,0.061351776123046875,0.11303424835205078,59.0,True
maze512-16-1.map,2,26,432,307,euclidean,0.061351776123046875,0.12590885162353516,62.0,True
maze512-16-1.map,2,28,185,488,manhattan,0.061351776123046875,0.9788274765014648,534.0,True
maze512-16-1.map,2,28,185,488,euclidean,0.061351776123046875,1.7359495162963867,719.0,True
maze512-16-1.map,3,30,320,260,manhattan,0.061351776123046875,0.21524429321289062,59.0,True
maze512-16-1.map,3,30,320,260,euclidean,0.061351776123046875,0.2805948257446289,75.0,True
maze512-16-1.map,3,31,71,285,manhattan,0.061351776123046875,0.06251335144042969,13.0,True
maze512-16-1.map,3,31,71,285,euclidean,0.061351776123046875,0.06804466247558594,13.0,True
maze512-16-1.map,3,32,385,205,manhattan,0.061351776123046875,5.320525169372559,2356.0,True
maze512-16-1.map,3,32,385,205,euclidean,0.061351776123046875,6.28352165222168,2996.0,True
maze512-16-1.map,3,33,239,132,manhattan,0.061351776123046875,0.22306442260742188,129.0,True
maze512-16-1.map,3,33,239,132,euclidean,0.061351776123046875,0.2826690673828125,150.0,True
maze512-16-1.map,3,34,419,244,manhattan,0.061351776123046875,0.1422882080078125,69.0,True
maze512-16-1.map,3,34,419,244,euclidean,0.061351776123046875,0.18787384033203125,89.0,True
maze512-16-1.map,3,35,42,199,manhattan,0.061351776123046875,0.2016305923461914,101.0,True
maze512-16-1.map,3,35,42,199,euclidean,0.061351776123046875,0.27391910552978516,131.0,True
maze512-16-1.map,3,36,102,450,manhattan,0.061351776123046875,27.26123332977295,12936.0,True
maze512-16-1.map,3,36,102,450,euclidean,0.061351776123046875,37.04638481140137,15110.0,True
maze512-16-1.map,3,37,496,454,manhattan,0.061351776123046875,0.2315998077392578,119.0,True
maze512-16-1.map,3,37,496,454,euclidean,0.061351776123046875,0.3420829772949219,153.0,True
maze512-16-1.map,3,38,384,123,manhattan,0.061351776123046875,0.17840862274169922,83.0,True
maze512-16-1.map,3,38,384,123,euclidean,0.061351776123046875,0.2210855484008789,105.0,True
maze512-16-1.map,3,39,18,231,manhattan,0.061351776123046875,0.5035638809204102,252.0,True
maze512-16-1.map,3,39,18,231,euclidean,0.061351776123046875,0.5777597427368164,316.0,True
maze512-16-1.map,4,40,405,293,manhattan,0.061351776123046875,21.955037117004395,10652.0,True
maze512-16-1.map,4,40,405,293,euclidean,0.061351776123046875,28.63175868988037,12463.0,True
maze512-16-1.map,4,41,20,228,manhattan,0.061351776123046875,0.25386810302734375,130.0,True
maze512-16-1.map,4,41,20,228,euclidean,0.061351776123046875,0.3943204879760742,189.0,True
maze512-16-1.map,4,42,304,384,manhattan,0.061351776123046875,0.07343292236328125,33.0,True
maze512-16-1.map,4,42,304,384,euclidean,0.061351776123046875,0.07805824279785156,33.0,True
maze512-16-1.map,4,43,326,219,manhattan,0.061351776123046875,0.23331642150878906,119.0,True
maze512-16-1.map,4,43,326,219,euclidean,0.061351776123046875,0.34754276275634766,162.0,True
maze512-16-1.map,4,44,462,426,manhattan,0.061351776123046875,13.240575790405273,5639.0,True
maze512-16-1.map,4,44,462,426,euclidean,0.061351776123046875,16.860628128051758,6271.0,True
maze512-16-1.map,4,45,416,316,manhattan,0.061351776123046875,12.585067749023438,5311.0,True
maze512-16-1.map,4,45,416,316,euclidean,0.061351776123046875,14.430952072143555,5986.0,True
maze512-16-1.map,4,46,96,108,manhattan,0.061351776123046875,0.20749568939208984,104.0,True
maze512-16-1.map,4,46,96,108,euclidean,0.061351776123046875,0.33588409423828125,136.0,True
maze512-16-1.map,4,47,309,77,manhattan,0.061351776123046875,602.07679271698,234058.0,True
maze512-16-1.map,4,47,309,77,euclidean,0.061351776123046875,661.5540027618408,234959.0,True
maze512-16-1.map,4,48,411,223,manhattan,0.061351776123046875,7.0511579513549805,3707.0,True
maze512-16-1.map,4,48,411,223,euclidean,0.061351776123046875,10.269927978515625,4482.0,True
maze512-16-1.map,4,49,247,465,manhattan,0.061351776123046875,0.9442329406738281,368.0,True
maze512-16-1.map,4,49,247,465,euclidean,0.061351776123046875,0.8793830871582031,441.0,True
maze512-16-1.map,5,50,412,55,manhattan,0.061351776123046875,5.008077621459961,2596.0,True
maze512-16-1.map,5,50,412,55,euclidean,0.061351776123046875,6.381726264953613,3054.0,True
maze512-16-1.map,5,51,296,326,manhattan,0.061351776123046875,32.13081359863281,14606.0,True
maze512-16-1.map,5,51,296,326,euclidean,0.061351776123046875,38.130736351013184,16119.0,True
maze512-16-2.map,0,0,79,161,manhattan,0.061065673828125,0.026082992553710938,8.0,True
maze512-16-2.map,0,0,79,161,euclidean,0.061065673828125,0.020813941955566406,8.0,True
maze512-16-2.map,0,1,119,191,manhattan,0.061065673828125,0.016570091247558594,7.0,True
maze512-16-2.map,0,1,119,191,euclidean,0.061065673828125,0.0186920166015625,7.0,True
maze512-16-2.map,0,2,8,54,manhattan,0.061065673828125,0.016808509826660156,7.0,True
maze512-16-2.map,0,2,8,54,euclidean,0.061065673828125,0.01823902130126953,7.0,True
maze512-16-2.map,0,3,240,154,manhattan,0.061065673828125,0.007152557373046875,3.0,True
maze512-16-2.map,0,3,240,154,euclidean,0.061065673828125,0.0077724456787109375,3.0,True
maze512-16-2.map,0,4,385,332,manhattan,0.061065673828125,0.0066280364990234375,2.0,True
maze512-16-2.map,0,4,385,332,euclidean,0.061065673828125,0.0072002410888671875,2.0,True
maze512-16-2.map,0,5,145,437,manhattan,0.061065673828125,0.019812583923339844,8.0,True
maze512-16-2.map,0,5,145,437,euclidean,0.061065673828125,0.02124309539794922,8.0,True
maze512-16-2.map,0,6,58,172,manhattan,0.061065673828125,0.008106231689453125,3.0,True
maze512-16-2.map,0,6,58,172,euclidean,0.061065673828125,0.008821487426757812,3.0,True
maze512-16-2.map,0,7,342,501,manhattan,0.061065673828125,0.0037908554077148438,1.0,True
maze512-16-2.map,0,7,342,501,euclidean,0.061065673828125,0.004100799560546875,1.0,True
maze512-16-2.map,0,8,185,469,manhattan,0.061065673828125,0.013375282287597656,5.0,True
maze512-16-2.map,0,8,185,469,euclidean,0.061065673828125,0.014591217041015625,5.0,True
maze512-16-2.map,0,9,28,359,manhattan,0.061065673828125,0.006222724914550781,2.0,True
maze512-16-2.map,0,9,28,359,euclidean,0.061065673828125,0.0069141387939453125,2.0,True
maze512-16-2.map,1,10,463,253,manhattan,0.061065673828125,0.042891502380371094,19.0,True
maze512-16-2.map,1,10,463,253,euclidean,0.061065673828125,0.05068778991699219,22.0,True
maze512-16-2.map,1,11,115,79,manhattan,0.061065673828125,0.07212162017822266,29.0,True
maze512-16-2.map,1,11,115,79,euclidean,0.061065673828125,0.07224082946777344,34.0,True
maze512-16-2.map,1,12,337,29,manhattan,0.061065673828125,0.27174949645996094,144.0,True
maze512-16-2.map,1,12,337,29,euclidean,0.061065673828125,0.33965110778808594,175.0,True
maze512-16-2.map,1,13,160,24,manhattan,0.061065673828125,0.018453598022460938,7.0,True
maze512-16-2.map,1,13,160,24,euclidean,0.061065673828125,0.01990795135498047,7.0,True
maze512-16-2.map,1,14,303,494,manhattan,0.061065673828125,0.051903724670410156,24.0,True
maze512-16-2.map,1,14,303,494,euclidean,0.061065673828125,0.06222724914550781,28.0,True
maze512-16-2.map,1,15,121,178,manhattan,0.061065673828125,0.07786750793457031,29.0,True
maze512-16-2.map,1,15,121,178,euclidean,0.061065673828125,0.09212493896484375,34.0,True
maze512-16-2.map,1,16,211,331,manhattan,0.061065673828125,0.049805641174316406,13.0,True
maze512-16-2.map,1,16,211,331,euclidean,0.061065673828125,0.05931854248046875,13.0,True
maze512-16-2.map,1,17,497,367,manhattan,0.061065673828125,0.021886825561523438,4.0,True
maze512-16-2.map,1,17,497,367,euclidean,0.061065673828125,0.02853870391845703,4.0,True
maze512-16-2.map,1,19,173,12,manhattan,0.061065673828125,0.06079673767089844,20.0,True
maze512-16-2.map,1,19,173,12,euclidean,0.061065673828125,0.07359981536865234,23.0,True
maze512-16-2.map,2,20,17,422,manhattan,0.061065673828125,0.0932931900024414,39.0,True
maze512-16-2.map,2,20,17,422,euclidean,0.061065673828125,0.10766983032226562,47.0,True
maze512-16-2.map,2,21,249,183,manhattan,0.061065673828125,0.05893707275390625,29.0,True
maze512-16-2.map,2,21,249,183,euclidean,0.061065673828125,0.07333755493164062,35.0,True
maze512-16-2.map,2,22,234,474,manhattan,0.061065673828125,3.272414207458496,1119.0,True
maze512-16-2.map,2,22,234,474,euclidean,0.061065673828125,4.962825775146484,1338.0,True
maze512-16-2.map,2,23,188,263,manhattan,0.061065673828125,0.2740144729614258,80.0,True
maze512-16-2.map,2,23,188,263,euclidean,0.061065673828125,0.3567218780517578,99.0,True
maze512-16-2.map,2,24,92,65,manhattan,0.061065673828125,0.0957489013671875,26.0,True
maze512-16-2.map,2,24,92,65,euclidean,0.061065673828125,0.1245737075805664,31.0,True
maze512-16-2.map,2,25,503,133,manhattan,0.061065673828125,0.17812252044677734,53.0,True
maze512-16-2.map,2,25,503,133,euclidean,0.061065673828125,0.3525733947753906,65.0,True
maze512-16-2.map,2,26,86,362,manhattan,0.061065673828125,0.05116462707519531,19.0,True
